id;status_group
50785;Functional
51630;Functional
17168;Functional
45559;Non-functional
49871;Functional
52449;Functional
24806;Non-functional
28965;Non-functional
36301;Non-functional
54122;Functional
419;Functional
45750;Non-functional
653;Non-functional
14017;Functional
44607;Functional
40228;Functional
27714;Non-functional
28785;Non-functional
28330;Functional
18532;Non-functional
69961;Functional
55083;Functional
8691;Non-functional
30331;Non-functional
70970;Functional
61136;Functional
28799;Non-functional
46825;Non-functional
44718;Functional
37350;Functional
65738;Functional
3271;Non-functional
42658;Non-functional
67523;Functional
37034;Functional
42432;Functional
27420;Functional
707;Functional
48489;Non-functional
51008;Non-functional
72562;Functional
10275;Non-functional
53540;Non-functional
43291;Non-functional
8813;Functional
62343;Non-functional
1649;Functional
8822;Functional
10352;Functional
50878;Functional
15266;Functional
51956;Functional
44099;Non-functional
59;Non-functional
51359;Non-functional
15962;Non-functional
17853;Functional
42040;Non-functional
72243;Functional
63653;Non-functional
26510;Functional
72053;Functional
29351;Functional
51897;Non-functional
20376;Functional
26804;Functional
67303;Functional
69780;Non-functional
45374;Functional
54665;Functional
39341;Non-functional
8869;Functional
20691;Non-functional
19693;Non-functional
14321;Non-functional
63059;Functional
67403;Functional
28912;Functional
12549;Functional
24328;Non-functional
13750;Non-functional
1574;Functional
44149;Non-functional
53917;Functional
22705;Functional
66465;Functional
15644;Functional
20773;Non-functional
33092;Non-functional
54392;Functional
37850;Functional
5576;Non-functional
60840;Functional
9971;Non-functional
57508;Functional
25872;Non-functional
43978;Functional
38181;Functional
24325;Non-functional
2724;Non-functional
34794;Non-functional
56525;Non-functional
63155;Non-functional
67247;Functional
23387;Functional
17873;Non-functional
18197;Non-functional
24834;Functional
4091;Functional
33261;Non-functional
44384;Functional
62096;Non-functional
64554;Functional
68314;Functional
53;Functional
23426;Functional
38259;Non-functional
16631;Non-functional
43162;Functional
44492;Non-functional
38884;Non-functional
13690;Functional
60335;Functional
31856;Functional
67891;Functional
25564;Functional
55293;Functional
31866;Functional
71178;Non-functional
60279;Functional
28615;Functional
8744;Functional
48308;Non-functional
49626;Non-functional
38098;Functional
30309;Functional
8015;Functional
3496;Functional
56971;Functional
68616;Functional
8646;Non-functional
74104;Non-functional
37501;Non-functional
33001;Non-functional
69202;Functional
68409;Functional
51847;Non-functional
55647;Non-functional
17923;Non-functional
71743;Non-functional
51539;Functional
73819;Functional
66881;Functional
58768;Functional
2648;Non-functional
68933;Functional
12427;Functional
16633;Non-functional
24123;Non-functional
58551;Non-functional
17132;Non-functional
3027;Non-functional
2651;Non-functional
25998;Non-functional
63400;Functional
50028;Non-functional
67897;Non-functional
21425;Non-functional
71756;Functional
16862;Functional
15420;Non-functional
47784;Non-functional
712;Non-functional
54368;Non-functional
2866;Functional
51130;Functional
27993;Non-functional
21621;Non-functional
66038;Functional
42182;Functional
17694;Non-functional
57759;Functional
47978;Functional
52359;Functional
69656;Non-functional
24086;Non-functional
43579;Functional
43284;Non-functional
2877;Non-functional
21171;Functional
40982;Functional
48396;Functional
13323;Functional
28467;Functional
2768;Functional
73593;Non-functional
65164;Non-functional
69976;Non-functional
52145;Functional
49259;Functional
23542;Functional
69848;Non-functional
9305;Functional
14359;Functional
28925;Non-functional
21243;Functional
10616;Non-functional
73667;Functional
20566;Functional
63711;Functional
72840;Functional
31651;Functional
3782;Functional
6799;Non-functional
21402;Functional
35390;Functional
12636;Non-functional
36887;Non-functional
20086;Non-functional
5634;Non-functional
48029;Functional
29927;Non-functional
2930;Functional
41800;Functional
68349;Functional
61678;Non-functional
30270;Functional
4678;Functional
9392;Non-functional
20735;Functional
49300;Non-functional
70339;Functional
25572;Non-functional
61445;Non-functional
32190;Functional
39189;Functional
14853;Non-functional
52207;Functional
48035;Functional
73122;Functional
16352;Functional
42721;Functional
15116;Functional
7837;Non-functional
56907;Functional
46382;Non-functional
64521;Non-functional
